CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/18/2016,19:02,,,40.803947,-73.928,"(40.803947, -73.928)",WILLIS AVE BRIDGE               ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3542680,Sedan,Taxi,,,
10/18/2016,7:15,BRONX,10453,,,,HARLEM RIVER PARK BRIDGE        ,RICHMAN PLAZA,,1,0,1,0,0,0,0,0,Unspecified,,,,,3546401,Station Wagon/Sport Utility Vehicle,,,,
10/18/2016,7:05,BROOKLYN,11234,40.592636,-73.90362,"(40.592636, -73.90362)",,,2900      FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3542741,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/18/2016,9:38,QUEENS,11426,40.73394,-73.72405,"(40.73394, -73.72405)",HILLSIDE AVENUE                 ,84 ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3542381,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/18/2016,17:00,,,40.771305,-73.87664,"(40.771305, -73.87664)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3542948,Sedan,Motorcycle,,,
10/18/2016,17:55,QUEENS,11354,40.76465,-73.823494,"(40.76465, -73.823494)",NORTHERN BOULEVARD              ,PARSONS BOULEVARD,,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,,,,3542774,Station Wagon/Sport Utility Vehicle,Bike,,,
10/18/2016,12:00,QUEENS,11354,40.763264,-73.82796,"(40.763264, -73.82796)",,,36-44     UNION STREET                  ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3542530,Sedan,Sedan,,,
10/18/2016,10:36,BRONX,10463,40.88712,-73.91387,"(40.88712, -73.91387)",,,660       WEST 236 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543513,Sedan,Sedan,,,
10/18/2016,23:20,,,40.766098,-73.951096,"(40.766098, -73.951096)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3543182,Station Wagon/Sport Utility Vehicle,,,,
10/18/2016,17:40,QUEENS,11379,40.722813,-73.87285,"(40.722813, -73.87285)",,,83-01     63 AVENUE                     ,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3542643,Sedan,Sedan,,,
10/18/2016,13:24,BROOKLYN,11223,40.59276,-73.96312,"(40.59276, -73.96312)",LANCASTER AVENUE                ,EAST 7 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3542640,Sedan,Sedan,,,
10/18/2016,16:22,BRONX,10457,40.843136,-73.91097,"(40.843136, -73.91097)",MOUNT EDEN PARKWAY              ,SHERIDAN AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3542900,Ambulance,Sedan,,,
10/18/2016,11:50,MANHATTAN,10019,40.76562,-73.98822,"(40.76562, -73.98822)",,,410       WEST 53 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3542579,Box Truck,Station Wagon/Sport Utility Vehicle,,,
10/18/2016,15:00,QUEENS,11413,40.676365,-73.741196,"(40.676365, -73.741196)",,,229-01    MERRICK BOULEVARD             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3542712,Sedan,Sedan,,,
10/18/2016,20:15,BROOKLYN,11235,40.57828,-73.96467,"(40.57828, -73.96467)",,,3024      BRIGHTON 3 STREET             ,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3542636,Sedan,Sedan,,,
10/18/2016,14:30,,,40.739864,-73.989586,"(40.739864, -73.989586)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3545086,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/18/2016,6:30,,,40.728363,-73.88449,"(40.728363, -73.88449)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,3542783,Sedan,UNK,,,
10/18/2016,20:30,,,40.802074,-73.93407,"(40.802074, -73.93407)",2 AVENUE                        ,EAST 124 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3548180,Sedan,,,,
10/18/2016,21:00,BROOKLYN,11216,40.669704,-73.94774,"(40.669704, -73.94774)",EASTERN PARKWAY                 ,NEW YORK AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3544483,Sedan,,,,
10/18/2016,10:26,STATEN ISLAND,10301,40.616413,-74.103516,"(40.616413, -74.103516)",CLOVE ROAD                      ,VICTORY BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543186,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/18/2016,9:10,BROOKLYN,11225,40.664158,-73.944496,"(40.664158, -73.944496)",,,535       EMPIRE BOULEVARD              ,1,0,0,0,0,0,1,0,Tire Failure/Inadequate,Unspecified,Unspecified,Unspecified,,3542963,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,
10/18/2016,23:50,BROOKLYN,11208,40.679607,-73.86646,"(40.679607, -73.86646)",,,456       GRANT AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3543530,Sedan,,,,
10/18/2016,14:50,BRONX,10456,40.831947,-73.91987,"(40.831947, -73.91987)",GRAND CONCOURSE                 ,EAST 166 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3543122,Box Truck,Sedan,,,
10/18/2016,8:00,QUEENS,11417,40.671932,-73.85165,"(40.671932, -73.85165)",NORTH CONDUIT AVENUE            ,84 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3542302,Sedan,Sedan,,,
